seq,latitude,longitude,altitude,accuracy,serverReceivedEpochMs,serverForwardEpochMs,phoneSendEstimatedServerEpochMs,phoneCallbackIntervalMs,geolocationAgeAtSendMs,pcReceiveLocalEpochMs,pcReceiveEstimatedServerEpochMs,monitorInterarrivalMs,phoneToServerLatencyMs,serverToMonitorLatencyMs,endToEndLatencyMs
748,37.25668417336553,127.18650145645721,146.47965857572854,2.000095100863983,1776757041160,1776757041160,1776757041081.5,998,79,1776757045870.2,1776757041232.0999,1010.699951171875,78.5,72.099853515625,150.599853515625
749,37.256684227181,127.18650143672704,146.47779858857393,2.0001238523325853,1776757042159,1776757042160,1776757042081.5,1000,79,1776757046870,1776757042231.9,999.800048828125,77.5,71.89990234375,150.39990234375
750,37.256684260000256,127.18650142184372,146.60303181689233,2.000152484104728,1776757043159,1776757043159,1776757043079.5,998,77,1776757047869.2,1776757043231.0999,999.199951171875,79.5,72.099853515625,151.599853515625
751,37.25668428721943,127.18650140129586,146.61566173750907,2.000181127281738,1776757044154,1776757044155,1776757044081.5,1002,79,1776757048864.9001,1776757044226.8,995.7001953125,72.5,71.800048828125,145.300048828125
752,37.25668433783676,127.1865013875485,146.5215120203793,2.0002097148398805,1776757045154,1776757045154,1776757045078.5,997,76,1776757049864.3,1776757045226.2,999.39990234375,75.5,72.199951171875,147.699951171875
753,37.25668436926966,127.18650135697852,146.54437799192965,2.0002382743398925,1776757046139,1776757046139,1776757046080.5,1002,78,1776757050849.4001,1776757046211.3,985.10009765625,58.5,72.300048828125,130.800048828125
754,37.25668440117243,127.18650131527399,146.5825287597254,2.000266924242781,1776757047155,1776757047155,1776757047080.5,1000,78,1776757051869.1,1776757047231,1019.699951171875,74.5,76,150.5
755,37.256758519204354,127.18647243977331,146.4694735556841,21.472195513099567,1776757048164,1776757048164,1776757048083.5,1003,81,1776757052874.3,1776757048236.2,1005.199951171875,80.5,72.199951171875,152.699951171875
756,37.25675786543549,127.18647154799048,146.4604158932343,21.010723148804143,1776757049160,1776757049160,1776757049083.5,1000,81,1776757053871.6,1776757049233.5,997.300048828125,76.5,73.5,150
757,37.25675786543549,127.18647154799048,146.4604158932343,21.33271138046625,1776757050160,1776757050160,1776757050082.5,999,80,1776757054870.3,1776757050232.2,998.699951171875,77.5,72.199951171875,149.699951171875
758,37.25675786543549,127.18647154799048,146.4604158932343,21.59785878982689,1776757051154,1776757051155,1776757051079.5,997,77,1776757055865,1776757051226.9,994.699951171875,74.5,71.89990234375,147.39990234375
759,37.25675786543549,127.18647154799048,146.4604158932343,22.224059304355755,1776757052144,1776757052144,1776757052081.5,1002,79,1776757056854.5,1776757052216.4,989.5,62.5,72.39990234375,134.89990234375
760,37.25675786543549,127.18647154799048,146.4604158932343,22.214825838028137,1776757053134,1776757053134,1776757053074.5,993,72,1776757057844.8,1776757053206.7,990.300048828125,59.5,72.699951171875,132.199951171875
761,37.25675786543549,127.18647154799048,146.4604158932343,22.800313219820374,1776757054154,1776757054154,1776757054093.5,1019,91,1776757058864.9001,1776757054226.8,1020.10009765625,60.5,72.800048828125,133.300048828125
762,37.25675786543549,127.18647154799048,146.4604158932343,22.186831338444442,1776757055150,1776757055151,1776757055079.5,986,77,1776757059861.1,1776757055223,996.199951171875,70.5,72,143.5
763,37.25675786543549,127.18647154799048,146.4604158932343,22.04996551030547,1776757056144,1776757056144,1776757056081.5,1002,79,1776757060854.9001,1776757056216.8,993.800048828125,62.5,72.800048828125,135.300048828125
764,37.25675786543549,127.18647154799048,146.4604158932343,22.21864102481887,1776757057162,1776757057162,1776757057080.5,999,77,1776757061873.8,1776757057235.7,1018.89990234375,81.5,73.699951171875,155.199951171875
765,37.25675786543549,127.18647154799048,146.4604158932343,21.62936889645563,1776757058150,1776757058150,1776757058079.5,999,76,1776757062860.1,1776757058222,986.300048828125,70.5,72,142.5
766,37.25675786543549,127.18647154799048,146.4604158932343,22.305290128428048,1776757059161,1776757059161,1776757059080.5,1001,77,1776757063871.4001,1776757059233.3,1011.300048828125,80.5,72.300048828125,152.800048828125
767,37.256704057546536,127.18649332072927,146.4604158932343,5.359285067553151,1776757060144,1776757060144,1776757060078.5,998,75,1776757064855.2,1776757060217.0999,983.7998046875,65.5,73.099853515625,138.599853515625
768,37.25670428388376,127.18649322914452,146.4604158932343,5.348012165231046,1776757061154,1776757061154,1776757061077.5,999,74,1776757065865.3,1776757061227.2,1010.10009765625,76.5,73.199951171875,149.699951171875
769,37.25670447763756,127.18649315074427,146.4604158932343,5.338344781467555,1776757062157,1776757062157,1776757062082.5,1005,79,1776757066869.5,1776757062231.4,1004.199951171875,74.5,74.39990234375,148.89990234375
770,37.25670452681643,127.18649313084464,146.4604158932343,5.335896187803484,1776757063159,1776757063159,1776757063079.5,997,76,1776757067869.9001,1776757063231.8,1000.400146484375,79.5,72.800048828125,152.300048828125
771,37.25670798142695,127.18649173297653,146.4604158932343,5.160217812658141,1776757064149,1776757064149,1776757064081.5,1002,78,1776757068860.1,1776757064222,990.199951171875,67.5,73,140.5
772,37.25671134673943,127.18648540177932,146.4604158932343,5.087521478792044,1776757065159,1776757065160,1776757065083.5,1002,80,1776757069871.3,1776757065233.2,1011.199951171875,75.5,73.199951171875,149.699951171875
773,37.25671139912479,127.18648538617839,146.4604158932343,5.0846673443759896,1776757066155,1776757066155,1776757066080.5,997,77,1776757070866.6,1776757066228.5,995.300048828125,74.5,73.5,148
774,37.25671150973065,127.18648535323874,146.4604158932343,5.078623419418388,1776757067165,1776757067165,1776757067085.5,1005,82,1776757071875.6,1776757067237.5,1009,79.5,72.5,152
775,37.25671435378411,127.18648450624774,146.4604158932343,4.920374565025734,1776757068139,1776757068139,1776757068079.5,994,76,1776757072850.5,1776757068212.4,974.89990234375,59.5,73.39990234375,132.89990234375
776,37.256716816187385,127.18648377291646,146.4604158932343,4.779131745180461,1776757069154,1776757069155,1776757069075.5,996,72,1776757073866.1,1776757069228,1015.60009765625,78.5,73,152.5
777,37.256718844345194,127.18648316890832,146.4604158932343,4.6595844426916635,1776757070144,1776757070145,1776757070081.5,1006,78,1776757074855.5,1776757070217.4,989.39990234375,62.5,72.39990234375,135.89990234375
778,37.2567205933902,127.18648264802314,146.4604158932343,4.553970848763841,1776757071156,1776757071156,1776757071080.5,999,77,1776757075867.5,1776757071229.4,1012,75.5,73.39990234375,148.89990234375
779,37.256722132994646,127.18648218951168,146.4604158932343,4.458935374469608,1776757072159,1776757072160,1776757072080.5,1000,77,1776757076871,1776757072232.9,1003.5,78.5,72.89990234375,152.39990234375
780,37.25672345827282,127.18648179482902,146.4604158932343,4.375478062129318,1776757073160,1776757073160,1776757073078.5,998,75,1776757077871,1776757073232.9,1000,81.5,72.89990234375,154.39990234375
781,37.2567235141497,127.18648177818825,146.4604158932343,4.37193683763174,1776757074164,1776757074164,1776757074082.5,1004,79,1776757078875.4001,1776757074237.3,1004.400146484375,81.5,73.300048828125,154.800048828125
